[<15:52:46>]   cpu_agent: cpu: 42.86 | processes: 430
[<17:55:36>]   network_agent: site_connection: 1 | inet_throughput: 69.6894
[<17:55:36>]   network_agent: site_connection: 1 | inet_throughput: 69.6894
[<17:55:37>]   network_agent: site_connection: 1 | inet_throughput: 69.6894
[<17:55:37>]   network_agent: site_connection: 1 | inet_throughput: 69.6894
[<17:55:37>]   network_agent: site_connection: 1 | inet_throughput: 69.6894
[<17:55:37>]   network_agent: site_connection: 1 | inet_throughput: 69.6894
[<17:55:37>]   network_agent: site_connection: 1 | inet_throughput: 69.6894
[<17:55:37>]   network_agent: site_connection: 1 | inet_throughput: 69.6894
[<17:55:37>]   network_agent: site_connection: 1 | inet_throughput: 69.6894
[<17:55:37>]   network_agent: site_connection: 1 | inet_throughput: 69.6894
[<17:55:37>]   network_agent: site_connection: 1 | inet_throughput: 69.6894
[<17:55:37>]   network_agent: site_connection: 1 | inet_throughput: 69.6894
[<17:55:37>]   network_agent: site_connection: 1 | inet_throughput: 69.6894
[<17:55:37>]   network_agent: site_connection: 1 | inet_throughput: 69.6894
[<17:55:37>]   network_agent: site_connection: 1 | inet_throughput: 69.6894
[<17:55:37>]   network_agent: site_connection: 1 | inet_throughput: 69.6894
[<17:55:38>]   network_agent: site_connection: 1 | inet_throughput: 69.6894
[<17:55:38>]   network_agent: site_connection: 1 | inet_throughput: 69.6894
[<17:55:38>]   network_agent: site_connection: 1 | inet_throughput: 69.6894
[<17:55:38>]   network_agent: site_connection: 1 | inet_throughput: 69.6894
[<17:55:38>]   network_agent: site_connection: 1 | inet_throughput: 69.6894
[<17:55:38>]   network_agent: site_connection: 1 | inet_throughput: 69.6894
[<17:55:38>]   network_agent: site_connection: 1 | inet_throughput: 69.6894
[<17:55:38>]   network_agent: site_connection: 1 | inet_throughput: 69.6894
[<17:55:38>]   network_agent: site_connection: 1 | inet_throughput: 69.6894
[<17:55:38>]   network_agent: site_connection: 1 | inet_throughput: 69.6894
[<17:55:38>]   network_agent: site_connection: 1 | inet_throughput: 69.6894
[<17:55:38>]   network_agent: site_connection: 1 | inet_throughput: 69.6894
[<17:55:38>]   network_agent: site_connection: 1 | inet_throughput: 69.6894
[<17:55:38>]   network_agent: site_connection: 1 | inet_throughput: 69.6894
[<17:55:39>]   network_agent: site_connection: 1 | inet_throughput: 69.6894
[<17:55:39>]   network_agent: site_connection: 1 | inet_throughput: 69.6894
[<17:55:39>]   network_agent: site_connection: 1 | inet_throughput: 69.6894
[<17:55:39>]   network_agent: site_connection: 1 | inet_throughput: 69.6894
[<17:55:39>]   network_agent: site_connection: 1 | inet_throughput: 69.6894
[<17:55:39>]   network_agent: site_connection: 1 | inet_throughput: 69.6894
[<17:55:39>]   network_agent: site_connection: 1 | inet_throughput: 69.6894
[<17:55:39>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:39>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:39>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:39>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:39>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:39>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:39>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:40>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:40>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:40>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:40>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:40>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:40>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:40>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:40>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:40>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:40>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:40>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:40>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:40>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:41>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:41>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:41>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:41>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:41>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:41>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:41>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:41>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:41>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:41>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:41>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:41>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:41>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:41>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:42>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:42>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:42>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:42>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:42>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:42>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:42>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:42>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:42>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:42>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:42>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:42>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:42>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:42>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:43>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:43>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:43>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:43>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:43>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:43>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:43>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:43>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:43>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:43>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:43>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:43>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:43>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:43>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:44>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:44>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:44>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:44>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:44>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:44>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:44>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:44>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:44>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:44>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:44>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:44>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:44>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:44>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:45>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:45>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:45>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:45>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:45>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:45>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:45>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:45>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:45>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:45>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:45>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:45>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:45>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:45>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:46>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:46>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:46>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:46>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:46>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:46>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:46>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:46>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:46>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:46>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:46>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:46>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:46>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:47>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:47>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:47>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:47>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:47>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:47>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:47>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:47>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:47>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:47>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:47>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:47>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:47>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:47>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:48>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:48>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:48>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:48>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:48>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:48>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:48>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:48>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:48>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:48>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:48>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:48>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:48>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:48>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:49>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:49>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:49>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:49>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:49>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:49>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:49>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:49>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:49>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:49>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:49>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:49>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:49>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:49>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:50>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:50>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:50>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:50>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:50>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:50>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:50>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:50>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:50>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:50>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:50>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:50>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:50>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:51>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:51>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:51>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:51>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:51>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:51>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:51>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:51>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:51>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:51>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:51>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:51>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:51>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:51>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:52>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:52>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:52>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:52>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:52>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:52>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:52>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:52>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:52>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:52>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:52>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:52>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:52>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:52>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:53>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:53>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:53>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:53>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:53>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:53>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:53>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:53>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:53>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:53>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:53>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:53>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:53>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:53>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:54>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:54>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:54>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:54>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:54>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:54>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:54>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:54>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:54>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:54>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:54>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:54>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:54>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:55>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:55>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:55>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:55>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:55>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:55>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:55>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:55>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:55>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:55>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:55>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:55>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:55>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:55>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:56>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:56>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:56>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:56>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:56>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:56>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:56>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:56>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:56>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:56>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:56>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:56>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:56>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:56>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:57>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:57>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:57>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:57>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:57>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:57>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:57>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:57>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:57>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:57>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:57>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:57>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:58>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:58>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:58>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:58>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:58>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:58>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:58>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:58>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:58>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:58>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:58>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:58>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:58>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:58>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:59>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:59>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:59>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:59>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:59>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:59>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:59>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:59>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:59>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:59>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:59>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:59>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:55:59>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:56:00>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:56:00>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:56:00>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:56:00>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:56:00>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:56:00>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:56:00>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:56:00>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:56:00>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:56:01>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:56:01>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:56:01>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:56:01>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:56:01>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:56:01>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:56:01>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:56:01>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:56:01>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:56:01>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:56:01>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:56:01>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:56:01>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:56:01>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:56:02>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:56:02>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:56:02>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:56:02>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:56:02>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:56:02>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:56:02>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:56:02>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:56:02>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:56:02>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:56:02>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:56:02>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:56:02>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:56:03>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:56:03>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:56:03>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:56:03>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:56:03>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:56:03>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:56:03>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:56:03>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:56:03>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:56:03>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:56:03>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:56:03>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:56:03>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:56:03>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:56:04>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:56:04>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:56:04>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:56:04>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:56:04>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:56:04>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:56:04>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:56:04>]   network_agent: site_connection: 1 | inet_throughput: 69.6895
[<17:56:04>]   network_agent: site_connection: 1 | inet_throughput: 69.6896
[<17:56:04>]   network_agent: site_connection: 1 | inet_throughput: 69.6896
